nombre,apellido,ciudad,becado,tipo_universidad,categoria_gasto,gasto_categoria
@@@,Cuesta, La Troncal,0,INVALID,Vivienda,79.09
Mora Isabella Gutierrez,Fernandez, Portoviejo,0,Pública,Vivienda,105.45
,@@@,,DAMAGED,,,
Mateo Lopez,$$$,Machachi,0,Pública,,77.79
Fernanda Chávez,Fuentes,Manta,0,Privada,Otros,23.79
Esther,Barajas,Jaramijó,0,Pública,Vivienda,
Corona Saez,Baeza,Puebloviejo,0,Pública,@@@,INVALID
Itzel Manuel,Venegas,Salitre,0,Pública,Transporte,79.64
Luis López,Torres, Atacames,0,Pública,Alimentación,VAL1010
Juanita Adela Agustí,Durán, Biblián,1,Privada,Ocio y personales,72.14
∞∞∞,,,,,,
José,Guerra, Santa Rosa,0,Pública,Otros,20.07
Ariel Blanca,Aguirre, El Tambo,0,Pública,Ninguno,48.87
,Aguilera, Samborondón,1,Privada,Ocio y personales,108.69
Violeta,Lucero, Guayaquil,0,Privada,Alimentación,180.77
Eduardo,Alegre-Osuna,Pasaje,0,Pública,Educación,21.3
[BAD],Moreno, Alausí,0,Pública,Otros,54.41
Paola Andrea Yepes,Vargas, Palenque,0,Privada,Transporte,51.92
,,,,,,
José Alejandro,Flórez, Bahía de Caráquez,<NULL>,Pública,BROKEN,34.01
Perla,Zepeda, Pelileo,@@@,Pública,Transporte,30.86
Mauricio Cuesta,Roca,Machachi,0,Pública,Alimentación,[BAD]
Bernardita,Albero, Calceta,0,Pública,Ocio y personales,31.06
Salomé Mateo,Mercader, El Coca,0,Pública,Transporte,34.89
Angélica Azorin,Cerro, Píllaro,1,Privada,Vivienda,278.57
∞∞∞,Antúnez,Guaranda,∞∞∞,Privada,Ocio y personales,117.48
Sr(a). Malena,Fernandez, Santa Ana,0,DAMAGED,Otros,21.19
Magaly,INVALID, Cuenca,0,Pública,Vivienda,57.49
Julia Mora Rodriguez,$$$,Cayambe,<NULL>,Pública,Otros,20.38
Heriberto Sáenz,Zabala, Santa Ana,0,Pública,Transporte,81.83
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,[BAD],Catarama,0,BROKEN,Ninguno,56.38
Rosalva Berenguer,Sastre,Otavalo,1,Privada,Alimentación,VAL9579
Fernanda Mery Pérez,###, Ambato,0,Pública,Transporte,43.4
Ariel Juan,Rojas, Montalvo,1,Privada,Transporte,109.72
Ariel Juan,Rojas, Montalvo,1,Privada,Vivienda,INVALID
Angélica Arana,Calvo,Latacunga,,Pública,Alimentación,$$$
Leonardo Jaramillo,Sánchez,<NULL>,0,Pública,Transporte,25.03
$$$,Prieto, Guayaquil,0,Privada,Vivienda,192.31
Jorge Raquel,Corrales,<UNK>,0,Pública,Educación,18.11
Edgar Alonso Bedoya,Díaz,Latacunga,0,Privada,Alimentación,69.52
Ana Diana Vallejo,Tovar, Pedro Carbo,0,Pública,{ERR},58.64
David Arrieta,Prieto, Guayaquil,0,Privada,Transporte,50.95
###,BROKEN, Chambo,1,Privada,Otros,
∞∞∞,Sastre,Otavalo,0,Pública,Transporte,34.47
María Manuela Real,Rebollo, Montalvo,0,Pública,[BAD],13.8
Sr(a). Antonio,Coronel,Salinas,0,Pública,Alimentación,88.87
Sr(a). Delia,Perales, Nueva Loja,0,Pública,Transporte,DAMAGED
Andrea,Ozuna, Huaca,0,Pública,Ocio y personales,30.69
Dr(a). Luisana,Garcia, Portoviejo,,Privada,Transporte,@@@
,Diego, Bahía de Caráquez,0,###CORRUPT###,Otros,13.81
Ligia,Quintero, Quevedo,,Privada,Alimentación,71.24
Valentino Martin,Sosa, General Villamil,0,∞∞∞,Ocio y personales,DAMAGED
Silvia Montenegro,Martínez, Valencia,0,Pública,Educación,24.63
Sandra Fuentes,Vásquez,San Lorenzo,0,Pública,Transporte,∞∞∞
Sr(a). Ramón,Pabón,Manta,0,Pública,Alimentación,57.78
Eulalia Mendizábal,Fabra, Baños de Agua Santa,0,Pública,Otros,<NULL>
Eufemia Reig,Pinedo, Machala,0,Pública,Vivienda,130.32
Esparta Anabel,Chavarría,DAMAGED,0,Pública,Ocio y personales,51.16
Ligia,Dominguez-Casal, El Tambo,XXX,Pública,,###CORRUPT###
Hilda Astrid,Sánchez, Palenque,0,Pública,Vivienda,117.47
Lic. Nicolás,Medina, El Coca,0,Pública,Educación,23.71
Nelly Marisela,Ybarra,Baba,0,Pública,Transporte,57.99
Jesús Sara,Lozano, Alausí,0,Pública,INVALID,147.7
Sr(a). Thiago Valentin,∞∞∞,El Triunfo,0,Pública,INVALID,72.71
Dr(a). Lola,Ortiz, Muisne,0,Pública,Educación,30.14
Carlos Jairo,Benavides, Rocafuerte,0,Pública,Vivienda,98.99
Ignacio María del Carmen,Avilés, Balzar,0,Pública,[BAD],VAL2679
,,,,,,
Alexandra Paula,Carrillo,732589,1,Privada,Vivienda,208.53
Candelaria,Sanchez,<UNK>,0,Pública,Alimentación,53.41
Soledad,Duarte-Artigas, Tabacundo,0,Pública,Alimentación,127.45
Yudy Carvajal,Mercado, Pimampiro,0,Pública,Otros,25.08
Margarita Genaro Orta,Puente,,0,Pública,Otros,20.03
José Luis Ariadna Vigil,Orosco, Catamayo,0,Pública,Transporte,37.0
Manuelita Pedrosa,Mayo, Samborondón,0,Pública,<NULL>,17.92
Valentina Lladó,Armas, Archidona,0,Pública,Transporte,23.29
Miguela Benavent,Sedano, Tabacundo,0,Pública,Ninguno,31.81
Aurora,Garibay, Catamayo,0,Pública,[BAD],24.37
Joaquin Gonzalez,Lopez, San Miguel de Los Bancos,1,Privada,Educación,41.97
Mtro. Gilberto,Irizarry,DAMAGED,0,Pública,Vivienda,153.51
Lautaro Benjamin,Rivero,Ibarra,NO,Pública,Educación,33.75
Eva Anaya,Collazo, Palenque,0,Pública,Otros,
Eduardo Cristina,Nájera, Guayaquil,0,Privada,Educación,27.25
Johana López,Pineda, Daule,0,Privada,Educación,61.98
Virgilio Rovira,Noguera, Tulcán,$$$,Privada,Vivienda,144.81
Augusto,INVALID, Colimes,0,Pública,Otros,97.23
Francisco Bautista Sanchez,Garcia, Balao,0,Pública,Transporte,131.92
Tristán Guerra,INVALID, Vinces,0,Pública,Otros,@@@
Santiago Rodriguez,Soto,Salitre,NO,Pública,Otros,6.77
Ariadna Rincón,Rosado,<NULL>,0,Pública,Ocio y personales,68.7
Jimena Benito,Carnero,$$$,0,Pública,Otros,19.55
736602,Piña,Cayambe,0,Pública,Otros,15.88
Susana Varela,Orta, San Gabriel,0,Pública,Educación,39.61
Virgilio Balaguer,Gras,DAMAGED,0,Pública,Vivienda,71.24
Liliana Patricia,López,<UNK>,0,Pública,,35.07
Danilo Mendoza,Sánchez, Junín,0,Pública,###CORRUPT###,27.17
[BAD],Luján, Santa Rosa,0,Pública,,16.36
Flavio Bueno,###CORRUPT###, Esmeraldas,0,Privada,Educación,45.64
DAMAGED,,,,,,0.0
Alfonsina,Guzman,INVALID,0,Pública,,93.4
Julián,Barreto,La Concordia,0,Pública,Ocio y personales,12.5
Dr(a). Julieta,Toledo, Chambo,0,Pública,Otros,15.93
,,,,,,
Etelvina Palacio,###CORRUPT###,San Vicente,0,Pública,Otros,VAL8871
Eva Jacobo,Perales, Milagro,0,Pública,DAMAGED,95.38
Bianca Esther,Gallardo, Sucre,0,Pública,Otros,8.36
Ana Leonor Salazar,Torres, Pimampiro,0,Pública,ERR!!,16.35
Gilma Arenas,Córdoba,Salitre,0,Pública,Otros,11.36
Luis Nelson,Castro, Camilo Ponce Enríquez,###CORRUPT###,Pública,Alimentación,52.29
Dayana,Buitrago,[BAD],1,Privada,INVALID,69.77
Alfonsina Chavez,Torres, Palestina,0,∞∞∞,Transporte,49.65
Sr(a). Sofia,Molina,Ventanas,0,@@@,Vivienda,[BAD]
Tiziano Benjamin,Blanco,Tena,0,Pública,Vivienda,232.17
Gerardo,Mejía, San Miguel,0,Pública,Alimentación,107.88
Lilia,Cedillo,<UNK>,0,$$$,Alimentación,65.06
Felipe Juarez,Rios, La Troncal,0,Pública,Otros,58.48
Ing. Sandra,Solorzano,Quinsaloma,0,Pública,Transporte,25.65
Aida Humberto,Gastélum,Guaranda,0,Pública,Vivienda,81.67
Arsenio Otero,Buendía, Isidro Ayora,0,Pública,Alimentación,83.66
Thiago Ezequiel,Fernandez, Archidona,0,Pública,∞∞∞,65.44
Diego Diego,Gaviria,Saquisilí,0,Pública,Alimentación,108.02
Rebeca Abelardo Posada,Crespo, Valdez,0,Pública,Alimentación,117.45
Aurora,Garibay, Catamayo,0,Pública,Alimentación,-9999.0
Antonio Guillermo Ruiz,Alfonso,Yantzaza,0,Pública,Ocio y personales,57.57
Erika Leticia Pérez,Pérez,###CORRUPT###,0,Pública,Ocio y personales,54.87
Sr(a). Delfina,Paez, General Villamil,INVALID,Privada,Alimentación,0.0
Esmeralda Hernández,Rolón,San Vicente,0,Pública,###CORRUPT###,42.38
Arley Mosquera,Díaz,Quinsaloma,0,Pública,Otros,27.28
@@@,Rincón, Milagro,0,Pública,Ocio y personales,41.38
Nuria Lladó,Cabo, Jipijapa,0,Pública,Ocio y personales,27.56
Jennifer Burgos,Zabaleta, Cuenca,0,Pública,Educación,13.52
Primitiva Armas,ERR!!, El Guabo,0,Pública,Ocio y personales,28.87
Luis Jorge Solano,Salgado,Catarama,0,Pública,Transporte,51.61
Lope Cabrero,Macias, Pedro Vicente Maldonado,∞∞∞,Privada,Transporte,33.28
Delia Pilar,Correa, Isidro Ayora,1,,347560,86.56
[BAD],Villalpando,Atuntaqui,0,Pública,Educación,26.86
Erika María Córdoba,,Bucay,0,Pública,Otros,13.43
Uma Thiago Ramirez,Ortiz, Machala,0,Pública,Transporte,77.55
Sr(a). Lautaro Benjamin,Gimenez, Chone,0,Privada,Ocio y personales,20.26
Ing. Mario,∞∞∞, Balzar,0,Pública,Transporte,INVALID
∞∞∞,,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,
Lautaro Benjamin Amparo,Miranda, Tabacundo,0,Pública,Otros,21.65
∞∞∞,Magaña,San Lorenzo,1,Privada,Alimentación,189.37
Arcelia Navarrete,Tafoya, Urcuquí,@@@,Pública,Vivienda,26.42
Camilo Lobato,Oliveras, Chambo,0,Pública,Alimentación,72.79
Guillermina David,Terrazas,Montecristi,0,Pública,Alimentación,115.94
Fabio Montesinos,Lamas,Quinsaloma,0,Pública,Transporte,<NULL>
Rubén Bas,Boada, Shushufindi,0,Pública,Vivienda,82.92
Mtro. Zoé,Dueñas,DAMAGED,0,Pública,Transporte,$$$
Olivia Nava,Beltrán,Babahoyo,0,,Transporte,27.86
José Luis,Duarte, Milagro,0,Pública,Vivienda,52.55
Santino,∞∞∞, La Libertad,BROKEN,Pública,Transporte,48.24
Isabella,Romero, Marcabelí,0,Pública,Alimentación,130.54
Julio Juan,Rojas, Alausí,0,Pública,Alimentación,100.22
Maria Paz Emilia,Diaz, Huaquillas,0,Pública,Ocio y personales,25.14
Abel Paola,Estévez, Alamor,0,Pública,Transporte,64.9
Inmaculada Alonso,Revilla, Portoviejo,0,Pública,Educación,24.89
Edwin Emilio,Guerrero,@@@,0,Pública,Educación,17.89
Bernabé Cepeda,Escribano, Coronel Marcelino Maridueña,0,Pública,Vivienda,55.6
Dr. Omar,###CORRUPT###, Esmeraldas,0,@@@,Alimentación,70.13
Lola Nicolas,Gimenez,∞∞∞,0,Pública,Educación,31.93
Heidy,BROKEN, Santo Domingo,0,Pública,Vivienda,79.68
<NULL>,Sanchez,<NULL>,0,Pública,Educación,27.21
Perla Marisol,Montaño, Píllaro,∞∞∞,Privada,Ocio y personales,95.08
Sebastián Alcalá,Ángel, Huaquillas,@@@,Pública,Educación,12.26
Édgar Gallardo,Tur,Quinsaloma,0,Pública,INVALID,27.17
Dr(a). Benicio,Benitez, Biblián,0,822961,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,@@@
Yago Naranjo,Conesa,El Triunfo,0,Pública,Transporte,54.29
Octavio Emilia Nieto,Solano, Jujan,0,Pública,Transporte,
Cristina,Ramírez,Tena,1,626195,ERR!!,222.48
Dr. Ofelia,Jaime,Piñas,0,Pública,Otros,32.14
Yeny Mariela,Sarmiento, Coronel Marcelino Maridueña,0,Pública,Otros,14.6
Dr(a). Valentina,Paz,[BAD],1,Privada,Otros,DAMAGED
Soledad Nadia Mascaró,Trujillo,429785,0,Pública,Otros,15.43
Araceli,Villa, Coronel Marcelino Maridueña,0,Pública,[BAD],67.23
,,,,,,
Débora Ferrándiz,Almazán,Zamora,0,Pública,Alimentación,54.87
Estela Hilda Alcala,Aranda,Caluma,0,Pública,Vivienda,59.62
Rosalva,Múñiz-Ibáñez, Narcisa de Jesús,1,Privada,@@@,22.12
,,,,<NULL>,,
Dr(a). Paula,Herrera, Tosagua,0,Pública,Ocio y personales,40.47
,,,,,,
Mora Julieta,Molina,Ventanas,0,Pública,Ocio y personales,79.27
Julio Enrique,Meneses, Coronel Marcelino Maridueña,0,Pública,Alimentación,68.77
David Gómez,Rodríguez, Jipijapa,1,Privada,,103.49
Humberto Talavera,Nadal,Zamora,0,Privada,Alimentación,99.77
Lucas Santino Benjamin Diaz,Luna, Junín,0,Pública,INVALID,62.01
Alvaro Juan Pablo,Gonzalez,Latacunga,0,Pública,Otros,17.3
Rolando Ornelas,Esquibel,El Triunfo,0,Pública,Educación,34.71
Joaquin,Cordoba, Atacames,1,Privada,Ocio y personales,74.53
,,[BAD],<NULL>,,,
$$$,Bravo, Portoviejo,0,Pública,Vivienda,0.0
,,,,,,
,,,,,,
Juliana Toro,Castellanos, Pedernales,BROKEN,Pública,{ERR},28.09
{ERR},Ortiz, Valencia,NO,∞∞∞,Alimentación,39.11
∞∞∞,Chacón,Ventanas,0,Pública,Ocio y personales,36.35
Tiziano Benjamin Cruz,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,<UNK>,1,Privada,Otros,25.53
,Maldonado,,0,Pública,Otros,17.29
BROKEN,Muñoz,∞∞∞,0,Pública,Alimentación,60.57
Dr(a). Felipe,Rios, Valencia,0,{ERR},∞∞∞,57.81
Mateo Thiago Ezequiel,Miranda, Chone,0,Pública,Educación,22.51
Agostina Victoria,Ramirez,Azogues,0,Privada,BROKEN,50.82
Esteban Tovar,Pérez, Huaca,0,Pública,Ocio y personales,34.17
Teodoro,Briseño,Pasaje,0,Pública,Ocio y personales,23.32
Sr(a). Valentina,Sosa,Ventanas,0,Pública,INVALID,106.03
###CORRUPT###,Moreno,<UNK>,0,Pública,Transporte,99.02
Nydia del,Casal, Chambo,0,Pública,,55.89
Jerónimo Campo,Canet,Catarama,0,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,Vivienda,173.71
Carol Esther,###CORRUPT###,Tena,0,Pública,Otros,###CORRUPT###
Juan Francisco,Ponce,Ventanas,0,Pública,Transporte,36.77
Santiago Lopez,Rodriguez,$$$,0,∞∞∞,Otros,34.44
,,,,,,
Montserrat Jiménez,Fábregas, Tabacundo,0,Pública,Educación,62.33
BROKEN,Segovia,DAMAGED,0,Pública,Educación,48.15
DAMAGED,Ferrández, Cariamanga,0,$$$,Educación,19.49
Ana,Benavides, La Maná,0,Pública,Ocio y personales,59.15
Dr(a). Martina,Ruiz, Atacames,0,Pública,Vivienda,109.51
Alba Andrea Pérez,Perea,Piñas,0,Pública,Educación,50.19
,,,,,,
Mohamed Pascual,López,Loja,0,Privada,Alimentación,134.36
María Ana,Muñoz, Catamayo,0,Pública,,198.63
Zeferino Granados,Mena, Isidro Ayora,0,Pública,Educación,10.47
±§¶,Samaniego, Pedro Carbo,0,Pública,Alimentación,116.67
Marisol Herrera,Fortuny,,<NULL>,Pública,Ocio y personales,41.18
Carolina Toledo,Lucio,,1,Privada,DAMAGED,117.23
Benjamin Federico Diaz,Vera,Tena,0,Pública,Alimentación,150.14
Gisela Bernat,Villegas,Bucay,0,Pública,Educación,54.37
,###CORRUPT###,,,,,
Estrella Hernando,Muro, Píllaro,0,Pública,Educación,33.96
Leoncio Segovia,Arroyo, Junín,1,Privada,Educación,41.85
Benjamin Alejandro,Perez, Alausí,0,,Otros,[BAD]
Sr(a). Agustin,Alvarez, Santa Rosa,0,Pública,Educación,48.71
Celso Aguilera,Bastida,Otavalo,0,Pública,Otros,12.62
Elvira,Sotelo, Ambato,0,Pública,Educación,10.91
Sr(a). Genaro,Nuñez, Esmeraldas,0,Pública,Transporte,42.83
María Fernanda Colomer,Bastida, Pimampiro,0,Pública,Transporte,59.29
INVALID,Loaiza,Zamora,0,Pública,Educación,$$$
,,Manta,0,Pública,Vivienda,@@@
Alonso Eloy,Carbajal,Guaranda,0,Pública,Vivienda,55.27
Juan Manuel Rincón,,Piñas,0,Pública,Vivienda,[BAD]
,[BAD],<NULL>,$$$,Privada,Alimentación,93.08
Juana Pedraza,Velasco, Camilo Ponce Enríquez,0,Pública,Transporte,30.97
Alejo,Aguero, Chordeleg,0,Pública,Vivienda,@@@
Ricardo Benavides,Sobrino,<UNK>,0,Pública,Transporte,48.61
Agustina Milagros,Martin,@@@,0,Pública,Vivienda,103.07
Alma Jazmin,Fernandez, General Villamil,0,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,Alimentación,134.6
@@@,Osuna, Guayaquil,0,Privada,Transporte,0.0
Amor Carranza,Coloma,Babahoyo,XXX,Privada,Vivienda,257.61
Pedro,Fernandez, Atacames,0,Pública,Alimentación,42.94
Thiago Benjamin Gutierrez,Fernandez, Shushufindi,1,Privada,Ocio y personales,88.75
Andrés Fernando,Bolaños,La Concordia,0,Pública,Otros,20.58
César Fernando Osorio,Ibarra,Pasaje,0,Pública,Educación,40.01
Mateo Benjamin,Garcia,Piñas,0,Pública,Transporte,∞∞∞
Lic. Porfirio,Vaca, Muisne,1,Privada,Transporte,220.27
Valentino,Nuñez, Gualaceo,0,<NULL>,Vivienda,<NULL>
Camilo Isaac León,Gómez, Pelileo,0,Pública,Educación,34.32
Noa Alba,Aparicio,∞∞∞,0,Pública,Transporte,38.77
Susanita,Casanovas,El Ángel,0,INVALID,,39.75
,,,XXX,,,
Tiziano Benjamin Diaz,Cabrera, Mocache,0,Pública,Educación,30.01
Sr(a). Bautista,Chavez,San Vicente,0,Pública,Alimentación,{ERR}
Pascual del,Antúnez, Cariamanga,0,Pública,Alimentación,55.39
Bautista Benjamin Giovanni,Nuñez,DAMAGED,0,Pública,Vivienda,94.43
Giovanny Aguilar,Gómez, Milagro,0,Pública,Vivienda,109.09
Luis,Mármol, La Troncal,0,Pública,Vivienda,56.02
Ing. Gloria,Gallardo,Guaranda,1,@@@,Ocio y personales,104.87
,,,,,,
Sr(a). Martina,Arias, Alamor,0,Pública,Otros,8.97
Zoraida Izaguirre,Valverde,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,0,Pública,Alimentación,79.8
Mia Morena Juan Gabriel Gomez,Flores, Narcisa de Jesús,0,$$$,Ninguno,41.05
Julio César,Véliz,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,0,Pública,###CORRUPT###,14.76
Thiago Ezequiel Dominguez,Rojas, Camilo Ponce Enríquez,1,Privada,Ocio y personales,127.21
Goyo Manrique,Hoz,Jaramijó,1,Privada,Ocio y personales,116.95
Juana,BROKEN,INVALID,0,Pública,Otros,14.26
María Eugenia,Zayas, El Guabo,,Pública,,33.59
Ruy Almazán,Cases,El Triunfo,1,Privada,###CORRUPT###,189.75
Cristina Florencia Candelaria,Vela,Puebloviejo,0,Pública,Vivienda,104.72
Sr(a). Maria Victoria,Acuña, Tabacundo,0,Pública,Alimentación,68.88
Dolores Sofía de,Jesús, San Gabriel,0,Pública,$$$,14.5
Arley Andrés,Murillo,,0,Privada,Transporte,67.73
Ofelia Mario,Alarcón, Santa Isabel,0,Pública,$$$,68.95
Belen Jordán,España, Santa Ana,,Pública,BROKEN,38.22
Mateo Isabella Moyano,Martinez,INVALID,0,Pública,Alimentación,ERR
Olegario Mínguez,Noguera,Yantzaza,@@@,Pública,Alimentación,73.5
Juan,,Quinsaloma,0,Pública,Vivienda,79.99
###CORRUPT###,,,,,,
Felicidad Alberola,Barrera, Montalvo,0,Pública,Otros,[BAD]
Jorge,Arevalo, Santo Domingo,0,Pública,DAMAGED,109.79
Luz Janneth Gonzáles,Castillo,Zamora,0,Pública,Vivienda,95.41
José Ángel del,Pujol,Manta,0,Pública,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,37.62
Matias Jeronimo,Garcia, Loreto,1,349194,Vivienda,212.5
∞∞∞,Barajas,,0,DAMAGED,Ocio y personales,15.89
Sr(a). Bautista,Carrizo,###CORRUPT###,0,Pública,Transporte,50.5
Nadia Vela,Garibay,Puerto Baquerizo Moreno,0,Privada,$$$,192.54
Pablo,Mendoza, Buena Fe,0,Pública,Alimentación,37.82
Jhon Lozano,Amaya, Chambo,0,Pública,Otros,17.65
Hector,Jáuregui,BROKEN,0,Pública,###CORRUPT###,21.89
DAMAGED,Torres, Chone,0,Privada,Vivienda,170.16
Marisol Tatiana,Valencia, Guano,0,Pública,Vivienda,54.35
Dr(a). Sol,Vera, San Gabriel,0,Pública,Transporte,46.59
Henry Enrique Galindo,Jaramillo,<NULL>,0,Pública,Transporte,48.65
,,,,,,
Luis,García, Daule,0,Pública,Otros,89.14
Jordana Aliaga,Garzón, Biblián,0,Pública,Vivienda,63.93
Micaela Ignacio,Tamez,Latacunga,0,Pública,Educación,14.38
Sebastián Wilmer Cardona,Barragán, Nueva Loja,@@@,∞∞∞,Transporte,80.81
Lorena Zapata,Ruiz,Montecristi,0,Pública,Transporte,81.72
Kiara Ivan,Suarez, Colimes,0,Pública,Educación,INVALID
Pascual Donoso,$$$,@@@,0,Pública,Ocio y personales,38.57
Jafet Puig,Rosell,<NULL>,0,Pública,Transporte,23.04
Máximo Alcolea,Bueno, Velasco Ibarra,0,Pública,,14.09
Edilberto Mario,Zapata,{ERR},0,Pública,Ocio y personales,
Agustina,Mate-Pintor, Echeandía,0,Pública,Alimentación,83.21
Carolina Toledo,Lucio, Buena Fe,1,Privada,Alimentación,217.31
Dr(a). Catalina,Carrizo, San Miguel de Los Bancos,0,Pública,Ninguno,99.83
,,,,,,0.0
Jerónimo,Gallardo, Tulcán,0,Pública,,87.26
,,,,,,BROKEN
{ERR},Ramirez, Balao,0,Pública,Educación,19.95
[BAD],Hernandez,Tena,1,Privada,[BAD],117.19
Gonzalo Millán,Bas, Balao,{ERR},Pública,Otros,37.19
Fabiola Barrena,Ropero, Atacames,0,Pública,Vivienda,85.39
Jessica Josefa Vergara,Triana,Quinsaloma,0,Pública,Otros,21.92
,,,###CORRUPT###,,,
Sr(a). Thiago,###CORRUPT###,INVALID,1,Privada,Vivienda,191.67
Abraham Vélez,Solorzano, Naranjito,0,Pública,Transporte,84.41
∞∞∞,Rodríguez,BROKEN,0,Pública,Ocio y personales,40.23
,,,,,INVALID,
Juan Manuel Sofia Rojas,Maldonado, Narcisa de Jesús,0,Pública,Otros,43.94
Sebastián Sierra,Ávila, Jipijapa,0,Pública,Otros,19.09
Adriana Abigail Beltrán,,Cayambe,0,Pública,Transporte,67.56
Julieta,Vazquez, Píllaro,0,Pública,Vivienda,117.96
Fanny Bermúdez,Bustos, Chambo,0,318659,Transporte,37.6
Lucía Lucy Jiménez,Andrade, Jama,1,Privada,Educación,114.49
Marisela,Flórez,Puebloviejo,0,Pública,Ocio y personales,66.83
Mtro. Eloy,Carrillo, Portoviejo,NO,Pública,<NULL>,20.65
Mateo Ezequiel Joaquin,$$$, Tabacundo,{ERR},Pública,Transporte,INVALID
Leandro Cardozo,Santos,Arenillas,0,Pública,Vivienda,60.39
Cristina Florencia Candelaria,Vela,Puebloviejo,0,Pública,Ocio y personales,25.99
Víctor Fabiola de la,Rosa,###CORRUPT###,0,Pública,Transporte,$$$
Reynaldo Adela,, Bahía de Caráquez,1,Privada,∞∞∞,160.64
Horacio Julio Fuentes,Uribe, Jujan,NO,Privada,$$$,BROKEN
Clara Sofia Sosa,Gomez, Shushufindi,0,Pública,Transporte,67.06
Daniel Hernando,Hurtado, Gualaceo,0,Pública,Otros,ERR
Inmaculada Alonso,Revilla, Portoviejo,0,Pública,Transporte,15.08
Viviana,Pedrosa, San Miguel de Los Bancos,ERR,Pública,###CORRUPT###,45.01
Aura,Antúnez-Trujillo, Pelileo,0,Pública,Ocio y personales,44.96
Zoe Valentina Lucas Rodriguez,Suarez,Pujilí,0,DAMAGED,Transporte,
Yenifer Vanessa Sánchez,Marín, Palora,0,Pública,Alimentación,148.4
Ismael,Rodrigo-Torralba, Macará,,BROKEN,Vivienda,119.91
Mateo Molina,Dominguez,Montecristi,0,Pública,Otros,21.18
Julio,González, Archidona,0,,Educación,92.24
Fernando Rodríguez,###CORRUPT###,<UNK>,0,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,Ocio y personales,47.57
Juan Cruz,Perez, Cotacachi,0,@@@,Educación,XXX
,,,,,,
Carlos Suárez,Polo, Cañar,<NULL>,∞∞∞,Educación,10.72
∞∞∞,,,,,,
Imelda del,Jordá, Esmeraldas,$$$,Privada,Ocio y personales,42.17
Paula Álvarez,INVALID,Latacunga,0,Pública,Otros,7.19
DAMAGED,,,,,,
Delia Abelardo,Alemán,San Vicente,0,Pública,Otros,0.0
Rodrigo Jaime Ávila,García,DAMAGED,0,@@@,Ocio y personales,0.0
Victoria,Treviño, Pimampiro,0,{ERR},Alimentación,75.64
Rodolfo,{ERR},Jaramijó,VAL4043,Pública,Alimentación,71.39
Esmeralda Hernández,Rolón,San Vicente,0,Pública,Vivienda,87.04
Patricio Minerva,Enríquez,$$$,1,Privada,Transporte,111.05
Franco,<NULL>, Pelileo,0,Pública,Transporte,73.22
Marisol Castillo,Triana, Daule,0,Pública,Otros,22.29
Sr(a). Natalia,Crespo, Junín,0,Pública,Vivienda,207.86
Emperatriz de,Cañizares,Guaranda,0,Pública,INVALID,31.68
Gilma Muñoz,$$$, San Miguel,0,Pública,Ocio y personales,37.51
Curro Alba,Mendoza, Santa Lucía,0,Pública,Vivienda,54.82
Marcelino Urbano Real,Jiménez,{ERR},0,BROKEN,Ocio y personales,32.34
Mario Griego,Molina,Catarama,0,Pública,Ocio y personales,49.58
,[BAD],,,,,
Mtro. Eloisa,Carrero, Alausí,0,Pública,Alimentación,60.38
Judith Lourdes,Alvarado, Santo Domingo,0,Pública,Transporte,0.0
BROKEN,Morante, Calceta,0,Pública,Alimentación,87.19
Helena,Laureano, Portovelo,0,Pública,Vivienda,148.61
@@@,Vélez, San Miguel de Los Bancos,0,Pública,Transporte,108.94
Adoración Lamas,Casals, Balao,1,Privada,Otros,∞∞∞
∞∞∞,Bayo,Atuntaqui,0,Pública,Otros,44.72
María Parra,Gómez, Cotacachi,0,Pública,Transporte,65.5
Lucía Angelina Suarez,, Cumandá,0,218685,Transporte,107.99
Víctor Mauricio,Garrido,,0,Privada,Alimentación,VAL9911
Mateo,Ledesma, Huaca,1,Privada,Transporte,105.58
Sofía,Aguero, El Carmen,0,Pública,Educación,58.63
José Carvajal,Herrera, El Tambo,0,Pública,INVALID,{ERR}
